time,id,mag,future_3h_mag_ge_5_5_event,future_3h_event_count,future_3h_max_mag,future_3h_first_event_time,future_3h_first_event_id
2020-06-07T00:26:33.890Z,us6000aaq5,4.5,0,0,,,
2020-06-07T04:05:53.901Z,us6000a7cq,4.5,0,0,,,
2020-06-09T02:25:39.186Z,us6000a87s,4.5,0,0,,,
2020-06-09T14:44:20.849Z,us6000acxj,4.5,0,0,,,
2020-06-09T15:12:28.388Z,us6000acxr,4.1,0,0,,,
2020-06-09T15:22:39.774Z,us6000a8k6,4.8,0,0,,,
2020-06-09T15:28:26.024Z,us6000acxl,4,0,0,,,
2020-06-10T13:04:03.008Z,us6000a9a7,4.2,0,0,,,
2020-06-11T17:09:33.713Z,us6000aa2v,4.5,0,0,,,
2020-06-12T11:30:37.591Z,us6000aakx,4.6,0,0,,,
2020-06-12T17:34:41.530Z,us6000ae94,4.2,0,0,,,
2020-06-12T17:42:02.895Z,us6000aau3,4.4,0,0,,,
2020-06-12T19:16:24.757Z,us6000aavu,4.7,0,0,,,
2020-06-13T10:01:44.821Z,us6000aes4,4.2,0,0,,,
2020-06-13T10:47:02.306Z,us6000aes6,4.3,0,0,,,
2020-06-13T17:50:25.051Z,us6000abfv,4.3,0,0,,,
2020-06-14T15:21:13.762Z,us6000aevy,4.3,0,0,,,
2020-06-15T16:55:00.977Z,us6000acb1,4.5,0,0,,,
2020-06-15T23:27:22.327Z,us6000acir,4.1,0,0,,,
2020-06-16T06:36:14.226Z,us6000acn7,4.4,0,0,,,
2020-06-16T15:30:49.649Z,us6000acw6,4.4,0,0,,,
2020-06-17T06:03:03.480Z,us6000adam,4.5,0,0,,,
2020-06-19T05:45:43.819Z,us7000aba1,4.2,0,0,,,
2020-06-20T22:51:25.001Z,us7000ac37,4.1,0,0,,,
2020-06-21T04:55:21.221Z,us6000afry,4.4,0,0,,,
2020-06-24T03:33:04.908Z,us7000afqd,4.4,0,0,,,
2020-06-24T19:47:45.011Z,us7000aabt,5.9,0,0,,,
2020-06-24T22:46:47.307Z,us7000aagv,4.4,0,0,,,
2020-06-25T07:03:50.040Z,us7000agi1,4.2,0,0,,,
2020-06-26T01:25:35.361Z,us7000abt1,4.2,0,0,,,
2020-06-26T11:57:49.515Z,us7000agqf,4.2,0,0,,,
2020-06-27T07:08:08.628Z,us7000acxu,4.5,0,0,,,
2020-06-27T21:17:51.263Z,us7000ad7w,4.7,0,0,,,
2020-06-28T05:59:40.734Z,us7000ahf7,4.6,0,0,,,
2020-06-28T14:54:12.129Z,us7000ads1,4.7,0,0,,,
2020-06-29T09:52:49.620Z,us7000ae89,5.3,0,0,,,
2020-06-29T17:13:39.844Z,us7000ahgt,4,0,0,,,
2020-06-29T19:37:09.937Z,us7000ael6,4.5,0,0,,,
2020-06-30T01:19:38.195Z,us7000ajbz,4.5,0,0,,,
2020-06-30T12:56:53.838Z,us7000af2j,4.9,0,0,,,
2020-06-30T13:32:08.767Z,us7000ajcd,4.2,0,0,,,
2020-06-30T22:32:04.005Z,us7000ajcs,4.2,0,0,,,
2020-07-01T09:25:02.620Z,us7000afrn,4.7,0,0,,,
2020-07-02T07:07:24.419Z,us7000agh1,5.2,0,0,,,
2020-07-03T05:12:55.798Z,us7000ah41,4.9,0,0,,,
2020-07-03T13:33:00.226Z,us7000akqs,4.1,0,0,,,
2020-07-04T04:05:59.785Z,us7000ahr3,4.5,0,0,,,
2020-07-04T19:10:01.654Z,us7000akt6,4.4,0,0,,,
2020-07-05T06:09:35.884Z,us7000al9i,4.4,0,0,,,
2020-07-05T13:57:24.590Z,us7000ala2,4,0,0,,,
2020-07-06T08:32:24.542Z,us7000aim8,4.3,0,0,,,
2020-07-06T15:16:46.454Z,us7000alfa,4.3,0,0,,,
2020-07-06T18:19:09.971Z,us7000aiyp,5.7,0,0,,,
2020-07-06T22:17:05.551Z,us7000aj3u,4.4,0,0,,,
2020-07-07T20:19:06.587Z,us7000ajn0,4.3,0,0,,,
2020-07-08T17:18:52.637Z,us7000ak85,4.5,0,0,,,
2020-07-08T17:50:47.061Z,us7000ak9g,4.4,0,0,,,
2020-07-08T21:05:30.164Z,us7000ake3,4.6,0,0,,,
2020-07-09T02:55:01.994Z,us7000akj2,4.5,0,0,,,
2020-07-09T03:19:39.737Z,us7000apj2,4.6,0,0,,,
2020-07-09T05:14:02.010Z,us7000akjy,4.9,0,0,,,
2020-07-11T07:34:12.775Z,us7000aqbg,4.2,0,0,,,
2020-07-11T13:11:55.869Z,us7000aqbt,4.6,0,0,,,
2020-07-12T09:32:26.200Z,us7000am8y,4.9,0,0,,,
2020-07-13T01:42:49.713Z,us7000amj1,4.8,0,0,,,
2020-07-13T23:00:25.360Z,us7000arps,4.2,0,0,,,
2020-07-14T03:36:39.261Z,us7000asgt,4.3,0,0,,,
2020-07-14T08:46:00.468Z,us7000an9d,4.1,0,0,,,
2020-07-14T12:14:09.297Z,us7000ashc,4.1,0,0,,,
2020-07-14T13:21:08.093Z,us7000anbx,4.9,0,0,,,
2020-07-14T14:13:39.310Z,us7000anci,4.1,0,0,,,
2020-07-14T20:48:03.784Z,us7000asi0,4.3,0,0,,,
2020-07-16T16:33:26.041Z,us7000apr6,4.3,0,0,,,
2020-07-16T20:03:09.371Z,us7000apwb,5.1,0,0,,,
2020-07-16T20:22:11.495Z,us6000b2qm,4.2,0,0,,,
2020-07-16T20:26:19.845Z,us6000b2qn,4.4,0,0,,,
2020-07-17T04:49:34.992Z,us7000aq5d,4.5,0,0,,,
2020-07-17T06:10:47.064Z,us7000aq5u,5,0,0,,,
2020-07-19T07:44:51.837Z,us7000ar5x,4.4,0,0,,,
2020-07-19T12:01:32.207Z,us7000ar86,4.3,0,0,,,
2020-07-19T18:02:44.689Z,us7000arac,4.7,0,0,,,
2020-07-19T19:14:52.372Z,us7000arau,3.9,0,0,,,
2020-07-20T10:32:46.438Z,us6000b3hx,4.4,0,0,,,
2020-07-21T08:54:25.504Z,us7000as7e,4.8,0,0,,,
2020-07-23T13:19:08.245Z,us6000b2mz,4.6,0,0,,,
2020-07-24T01:36:08.879Z,us6000b66j,4.4,0,0,,,
2020-07-24T19:51:33.406Z,us6000b3nx,4.2,0,0,,,
2020-07-25T00:17:02.838Z,us6000b6n8,4.5,0,0,,,
2020-07-25T10:39:40.390Z,us6000b3y8,4.2,0,0,,,
2020-07-25T12:25:53.126Z,us6000b3zu,4.8,0,0,,,
2020-07-26T16:32:20.975Z,us6000b6t7,4.1,0,0,,,
2020-07-26T21:13:09.499Z,us6000b4he,4.6,0,0,,,
2020-07-26T21:31:53.681Z,us6000b6tj,4.6,0,0,,,
2020-07-27T01:12:43.648Z,us6000b4ja,4.6,0,0,,,
2020-07-28T04:22:21.601Z,us6000b54t,4.4,0,0,,,
2020-07-28T10:46:31.834Z,us6000b8s1,4.4,0,0,,,
2020-07-28T20:16:24.562Z,us6000b8sg,4.2,0,0,,,
2020-07-28T20:33:26.070Z,us6000b5lm,4.6,0,0,,,
2020-07-29T02:35:24.506Z,us6000b5t0,4.1,0,0,,,
2020-07-29T14:14:22.816Z,us6000b63q,4.4,0,0,,,
2020-07-29T14:20:23.395Z,us6000b98i,4.2,0,0,,,
2020-07-29T16:19:40.100Z,us6000b989,4.3,0,0,,,
2020-07-30T00:35:56.884Z,us6000b6i4,5.8,0,0,,,
2020-07-30T06:55:59.405Z,us6000b6l2,4.7,0,0,,,
2020-07-31T05:16:29.362Z,us6000b7a6,4.9,0,0,,,
2020-07-31T08:37:46.279Z,us6000b7cb,4.7,0,0,,,
2020-07-31T13:57:35.143Z,us6000b7f4,4.2,0,0,,,
2020-07-31T17:55:55.734Z,us6000b7j9,4.5,0,0,,,
2020-08-01T03:15:07.543Z,us6000b7ss,4.3,0,0,,,
2020-08-02T15:04:43.860Z,us6000bahh,4.4,0,0,,,
2020-08-02T16:49:00.621Z,us6000bai4,4.5,0,0,,,
2020-08-04T11:21:36.914Z,us6000b94h,5,0,0,,,
2020-08-04T14:03:05.103Z,us6000bbyj,4.4,0,0,,,
2020-08-05T14:44:40.964Z,us6000bcpx,3.7,0,0,,,
2020-08-05T15:12:20.708Z,us6000b9pp,4.6,0,0,,,
2020-08-05T17:54:02.336Z,us6000b9t8,5.3,0,0,,,
2020-08-05T18:53:03.540Z,us6000bcpb,4.2,0,0,,,
2020-08-05T19:39:54.979Z,us6000bcpd,4.3,0,0,,,
2020-08-06T01:07:12.764Z,us6000bdby,4.6,0,0,,,
2020-08-06T03:06:33.732Z,us6000b9yh,5.1,0,0,,,
2020-08-06T15:34:44.170Z,us6000ba64,5.2,0,0,,,
2020-08-08T01:39:54.062Z,us6000be2q,4.2,0,0,,,
2020-08-08T08:36:59.877Z,us6000bb1p,4.4,0,0,,,
2020-08-09T05:30:31.391Z,us6000bbbv,4.5,0,0,,,
2020-08-09T07:20:44.439Z,us6000ben3,4.5,0,0,,,
